filename,class_name,class_id,x_center,y_center,width,height
100000000_anno.txt,quartzity,5,0.439643,0.296875,0.504286,1.0
100000000_anno.txt,live knot,0,0.508571,0.928711,0.556071,0.961914
100000000_anno.txt,live knot,0,0.520714,0.121094,0.573214,0.179687
100000001_anno.txt,quartzity,5,0.443571,0.0,0.503571,0.852539
100000002_anno.txt,marrow,7,0.432143,0.0,0.483571,0.524414
100000002_anno.txt,live knot,0,0.395714,0.359375,0.44,0.441406
100000003_anno.txt,live knot,0,0.541429,0.951172,0.5925,1.0
100000003_anno.txt,live knot,0,0.278571,0.583008,0.345357,0.660156
100000004_anno.txt,resin,6,0.0675,0.402344,0.100714,0.539062
100000004_anno.txt,live knot,0,0.508214,0.576172,0.555714,0.660156
100000005_anno.txt,resin,6,0.660357,0.876953,0.703214,0.977539
100000005_anno.txt,live knot,0,0.448214,0.583008,0.488929,0.65332
100000005_anno.txt,live knot,0,0.6025,0.400391,0.703214,0.470703
100000005_anno.txt,live knot,0,0.494286,0.022461,0.526429,0.085937
100000005_anno.txt,live knot,0,0.369286,0.0,0.434643,0.056641
100000006_anno.txt,live knot,0,0.471786,0.415039,0.503929,0.473633
100000006_anno.txt,live knot,0,0.5475,0.357422,0.609643,0.425781
100000007_anno.txt,live knot,0,0.480357,0.605469,0.570714,0.734375
100000007_anno.txt,live knot,0,0.055714,0.485352,0.303929,0.723633
100000007_anno.txt,live knot,0,0.455714,0.232422,0.495,0.300781
100000007_anno.txt,live knot,0,0.719286,0.121094,0.934643,0.313477
100000008_anno.txt,resin,6,0.708214,0.0,0.738929,0.063477
100000009_anno.txt,resin,6,0.58,0.250977,0.626429,0.407227
100000009_anno.txt,resin,6,0.708214,0.0,0.738929,0.063477
100000009_anno.txt,live knot,0,0.3475,0.4375,0.372857,0.509766
100000010_anno.txt,live knot,0,0.615714,0.107422,0.689643,0.176758
100000011_anno.txt,resin,6,0.234286,0.722656,0.258214,0.865234
